,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
11783,Ballroom Blitz,Shaun White Snowboarding: Official Soundtrack,Various Artists,2008-11-18,241973,51,0.557,0.000867,0.557,0.919,0.000948,0.0394,-5.602,0.0751,108.524,4
11784,Round and Round,Rhino Hi-Five: Ratt,Ratt,2005-11-22,265893,55,0.628,0.00682,0.628,0.934,1.11e-05,0.0852,-6.026,0.0527,126.538,4
11785,Like A Rolling Stone - 1967/Live At Monterey Pop Festival,Live At Monterey,Jimi Hendrix,2007-10-29,426613,0,0.494,0.12,0.494,0.485,0.000277,0.16,-10.464,0.048,80.593,4
11786,Foxey Lady,Are You Experienced,Jimi Hendrix,1967-05-12,199493,0,0.504,0.0577,0.504,0.852,0.211,0.257,-5.962,0.0382,98.022,4
11787,Changes,Greatest Hits,Black Sabbath,2009,281333,0,0.304,0.376,0.304,0.301,2.83e-05,0.121,-9.792,0.0305,81.439,3
11788,Living After Midnight,Original Album Classics,Judas Priest,1977,210133,0,0.61,0.0136,0.61,0.824,1.75e-06,0.0606,-6.046,0.0534,134.992,4
11789,Power - Live,Keeper Of The Seven Keys - The Legacy World Tour - Live In Sao Paulo,Helloween,2007-02-23,228533,0,0.328,0.00863,0.328,0.909,4.2e-05,0.451,-6.499,0.054,109.977,4
11790,Patience,Greatest Hits (EU Version),Guns N' Roses,2004-03-15,354986,0,0.456,0.724,0.456,0.264,0.000129,0.108,-14.519,0.0314,120.409,4
11791,On The Road Again,Playlist: The Very Best Of Willie Nelson,Willie Nelson,1975,152893,0,0.71,0.547,0.71,0.736,0.0717,0.805,-8.515,0.0408,111.147,4
11792,Lucille,The Essential Little Richard (Remastered),Little Richard,1985-01-01,142400,0,0.682,0.336,0.682,0.839,0.000571,0.17,-9.186,0.0466,145.051,4
11793,Paint It Black - Edited Album Version,The Best Of Eric Burdon & War,Eric Burdon & War,1996,246440,0,0.518,0.576,0.518,0.631,1.19e-05,0.108,-9.467,0.0732,164.232,4
11794,Still Of The Night - 2007 Remastered Version,1987,Whitesnake,1987-04-04,394466,0,0.419,0.00251,0.419,0.852,0.0044,0.189,-7.78,0.0495,100.434,4
11795,People Are Strange - New Stereo Mix,The Future Starts Here: The Essential Doors Hits,The Doors,2008-01-28,130746,50,0.7,0.655,0.7,0.418,0.0,0.195,-11.238,0.033,119.627,4
11796,Behind Blue Eyes,Who's Next (Remastered),The Who,1971-08-14,221693,0,0.41,0.126,0.41,0.53,2.36e-05,0.285,-10.793,0.0342,128.556,4
11797,Wish You Were Here - 2011 Remastered Version,Wish You Were Here (2011 Remastered Version),Pink Floyd,1975-09-12,334743,42,0.481,0.735,0.481,0.262,0.0114,0.832,-15.73,0.0414,122.883,4
11798,Easy,Angel Dust,Faith No More,1992-06-08,186960,58,0.506,0.339,0.506,0.554,0.000355,0.112,-6.743,0.0339,124.724,4
11799,Fade To Black,Ride The Lightning,Metallica,1984-07-27,417400,0,0.258,0.0183,0.258,0.907,0.201,0.11,-7.287,0.112,113.679,4
11800,Stairway to Heaven - 1990 Remaster,Led Zeppelin IV,Led Zeppelin,1971-11-08,478173,69,0.346,0.575,0.346,0.335,0.00674,0.185,-12.453,0.0339,84.204,4
11801,Creep,Thank You,Stone Temple Pilots,2003-11-10,332626,51,0.66,0.00428,0.66,0.567,0.0137,0.11,-6.318,0.0289,107.754,4
11802,Dream On,Hard Rock Tribute,Various Artists,2011-10-18,270040,0,0.377,0.00785,0.377,0.618,1.35e-05,0.0977,-7.145,0.0289,78.025,4
11803,Spill The Wine,Boogie Nights / Music From The Original Motion Picture,Various Artists,1997-01-01,242066,43,0.818,0.377,0.818,0.528,0.0,0.131,-10.666,0.0716,120.368,4
11804,Roadhouse Blues - Live,American Nights - In Concert,The Doors,1991-05-17,372200,41,0.502,0.304,0.502,0.494,1.72e-05,0.985,-13.524,0.0509,61.929,4
11805,The Night Time Is The Right Time,Creedence Covers The Classics,Creedence Clearwater Revival,2009-01-01,187333,0,0.617,0.225,0.617,0.708,0.00057,0.127,-7.888,0.0272,105.708,3
11806,Runnin' Down A Dream,Full Moon Fever,Tom Petty,1989-01-01,262373,2,0.453,0.000451,0.453,0.871,0.298,0.43,-12.004,0.0345,170.011,4
11807,One,...And Justice For All,Metallica,1988-08-25,447440,0,0.444,0.00112,0.444,0.703,0.0761,0.127,-9.443,0.0641,106.228,4
11808,Hurt,American IV: The Man Comes Around,Johnny Cash,2002-01-01,217942,0,0.536,0.666,0.536,0.4,0.000906,0.0841,-7.717,0.0263,90.32,4
11809,Rocky Mountain Way,The Music of Grand Theft Auto IV,Various Artists,2008-01-01,315193,38,0.473,0.0451,0.473,0.566,0.597,0.104,-6.242,0.0487,85.925,4
11810,Is This Love - 2003 Remaster,Best of Whitesnake,Whitesnake,2003-03-24,281400,53,0.342,0.00321,0.342,0.79,1.38e-06,0.151,-6.603,0.0333,180.673,4
11811,Interstate Love Song,Thank You,Stone Temple Pilots,2003-11-10,193613,57,0.214,0.000552,0.214,0.947,0.00352,0.238,-5.053,0.0507,170.616,4
11812,Cliffs Of Dover - Instrumental,Ah Via Musicom,Eric Johnson,1990,249767,61,0.449,0.162,0.449,0.775,0.149,0.248,-12.029,0.0405,94.907,4
11813,In The Air Tonight,Face Value,Phil Collins,1981-01-01,333120,0,0.597,0.669,0.597,0.313,6.23e-06,0.0734,-10.791,0.0265,94.987,4
11814,Deuces Are Wild,Big Ones,Aerosmith,1994-01-01,216173,0,0.494,0.000261,0.494,0.769,0.00318,0.102,-6.632,0.029,74.934,4
11815,Ocean Pearl,Smilin' Buddha Cabaret,54-40,1994,207666,46,0.661,9.39e-05,0.661,0.808,0.009,0.0335,-6.926,0.0332,113.332,4
11816,Time - 2011 Remastered Version,The Dark Side Of The Moon (2011 Remastered Version),Pink Floyd,1973-03-16,413947,0,0.358,0.521,0.358,0.48,0.00428,0.178,-11.79,0.0849,120.317,4
11817,Hello Time Bomb,In A Coma - The Best of Matthew Good 1995 - 2005,Matthew Good,2005-01-01,236360,20,0.573,0.0013,0.573,0.848,2.24e-05,0.138,-6.311,0.0509,128.496,4
11818,"My My, Hey Hey (Out Of The Blue)",Rust Never Sleeps,Neil Young,1979-06-27,227840,0,0.506,0.871,0.506,0.404,0.000571,0.328,-13.308,0.0295,126.973,4
11819,Come Together,Armageddon - The Album,Various Artists,1998-06-23,224600,40,0.418,0.0332,0.418,0.7,0.000127,0.381,-6.488,0.0291,171.918,4
11820,Black Dog - 1990 Remaster,Led Zeppelin IV,Led Zeppelin,1971-11-08,294000,54,0.432,0.274,0.432,0.848,0.0344,0.233,-8.095,0.0878,81.201,4
11821,Roller - Remastered,Classic Masters,April Wine,2002-01-01,259866,45,0.451,0.0019,0.451,0.973,0.122,0.0893,-3.615,0.1,140.642,4
11822,Cheap Sunglasses,Deguello,ZZ Top,1979-11-08,288400,49,0.617,0.148,0.617,0.461,0.0151,0.12,-14.485,0.0434,93.853,4
11823,I Drink Alone,Maverick,George Thorogood & The Destroyers,1985,275493,56,0.344,0.00942,0.344,0.796,0.00186,0.0984,-11.731,0.0407,96.95,4
11824,Wild Side,Greatest Hits,Mötley Crüe,1999-01-01,276693,33,0.562,0.00409,0.562,0.876,0.00175,0.406,-5.992,0.0438,115.128,4
11825,Detroit Rock City,Greatest Kiss,KISS,1997-04-08,218693,0,0.548,0.0381,0.548,0.905,3.37e-05,0.163,-7.237,0.0607,90.587,4
11826,Jealous Again,Shake Your Money Maker,The Black Crowes,1990-01-01,275066,0,0.634,0.108,0.634,0.847,0.0,0.142,-4.639,0.0263,114.422,4
11827,Juke Box Hero - 2008 Remaster,No End in Sight: The Very Best of Foreigner,Foreigner,2008-07-08,262453,43,0.33,0.083,0.33,0.707,0.0,0.0565,-3.7,0.0766,176.997,4
11828,When I Was Young,True Experience,Tyler Boone,2016-07-22,223250,33,0.572,0.000341,0.572,0.639,0.293,0.134,-5.212,0.0375,140.199,4
11829,The Stroke,Don't Say No,Billy Squier,1981,218333,0,0.701,0.593,0.701,0.452,0.0,0.506,-12.252,0.0842,91.33,4
11830,Rooster,Dirt,Alice In Chains,1992-09-29,374333,70,0.269,0.0307,0.269,0.551,0.000619,0.118,-8.456,0.0274,144.408,3
11831,Run Like Hell - 2011 Remastered Version,The Wall [2011 - Remaster] (2011 Remastered Version),Pink Floyd,1979-11-30,263573,0,0.716,0.0235,0.716,0.499,0.449,0.86,-15.457,0.0354,116.974,4
11832,Rockin' in the Free World,Freedom,Neil Young,1989-09-29,281853,66,0.491,0.000736,0.491,0.883,3.19e-05,0.369,-4.986,0.0306,131.75,4
11833,Gimme All Your Lovin',Eliminator,ZZ Top,1983-03-23,241080,70,0.63,0.00322,0.63,0.788,0.0237,0.0883,-6.7,0.0298,120.059,4
11834,You're My Best Friend - Remastered 2011,A Night At The Opera (2011 Remaster),Queen,1975-11-21,170786,0,0.51,0.148,0.51,0.76,0.0116,0.0706,-6.995,0.0411,118.829,4
11835,Tush,ZZ Top's Greatest Hits,ZZ Top,1992-04-13,137240,46,0.546,0.0908,0.546,0.864,0.00814,0.277,-7.632,0.0393,145.652,4
11836,Feel It Again,Rhino Hi-Five: Power Ballads,Various Artists,2006-05-16,277293,25,0.6,0.00874,0.6,0.574,7.41e-06,0.117,-13.164,0.0395,122.141,4
11837,Soul to Squeeze,Greatest Hits,Red Hot Chili Peppers,2003-11-18,289533,67,0.663,0.0322,0.663,0.546,0.000572,0.107,-5.234,0.0269,88.171,4
11838,Let It Go,Jealousy,Tyler Boone,2019-01-25,262000,0,0.513,0.00131,0.513,0.874,0.0346,0.138,-5.257,0.12,125.954,4
11839,You Give Love A Bad Name,Bon Jovi Greatest Hits,Bon Jovi,2010-01-01,223146,1,0.53,0.0528,0.53,0.964,4.84e-06,0.372,-2.571,0.0553,122.807,4
11840,This Flight Tonight,Loud 'N' Proud,Nazareth,1974,203840,0,0.508,0.00552,0.508,0.653,0.225,0.128,-6.645,0.0409,134.071,4
11841,Big Empty,Thank You,Stone Temple Pilots,2003-11-10,293986,50,0.335,0.0347,0.335,0.716,0.0,0.107,-7.02,0.0404,121.761,4
11842,Burnin' for You,Fire of Unknown Origin,Blue Öyster Cult,1981-10-23,271000,68,0.532,0.106,0.532,0.728,0.0108,0.0849,-9.079,0.0352,134.303,4
11843,Smokin',Boston,Boston,1976,261386,0,0.197,0.000545,0.197,0.798,0.414,0.187,-7.334,0.0656,175.068,4
11844,The Mighty Factory of Death,The Mighty Factory of Death,Society of the Silver Cross,2019-05-24,265973,22,0.258,0.44,0.258,0.553,0.802,0.0881,-7.865,0.0312,72.668,4
11845,Heaven Coming Down,TRIPtych,The Tea Party,1999-01-01,241293,45,0.343,0.00359,0.343,0.862,0.0169,0.146,-5.334,0.0408,184.232,4
11846,Cryin',Young Lust: The Aerosmith Anthology,Aerosmith,2001-11-20,308266,0,0.451,0.000197,0.451,0.828,0.0128,0.345,-3.904,0.0328,105.882,3
11847,Keep On Loving Me Baby,Sudden Stop,Colin James,1990,220640,37,0.53,0.000487,0.53,0.686,0.000618,0.449,-14.377,0.0441,139.08,4
11848,Money City Maniacs,Navy Blues,Sloan,1998,233916,47,0.452,0.00966,0.452,0.694,0.000334,0.357,-5.266,0.044,126.22,3
11849,Brother Down,We Were Born in a Flame,Sam Roberts Band,2003,264133,22,0.558,0.281,0.558,0.931,0.000152,0.554,-3.942,0.0316,98.562,4
11850,You Could Be Mine,Use Your Illusion II (Explicit Version),Guns N' Roses,1991-01-01,343640,0,0.35,0.00876,0.35,0.985,0.551,0.36,-5.676,0.122,151.007,4
11851,Ashes to Ashes,Album of the Year,Faith No More,1997-06-03,217333,49,0.57,9.87e-05,0.57,0.866,0.000355,0.144,-6.106,0.0281,98.551,4
11852,I'm Eighteen,Love It to Death,Alice Cooper,1971,180760,58,0.618,0.249,0.618,0.413,0.0517,0.131,-14.164,0.0302,97.84,4
11853,While My Guitar Gently Weeps,Hell To Pay,The Jeff Healey Band,1990-05-21,315666,54,0.431,0.00151,0.431,0.666,0.00213,0.0527,-11.141,0.0337,134.777,4
11854,Crash My Car,Crash My Car,COIN,2019-06-13,188306,0,0.244,0.00178,0.244,0.645,0.00574,0.301,-5.863,0.0456,183.577,5
11855,Wherever I May Roam,Metallica,Metallica,1991-08-12,404240,0,0.554,0.000526,0.554,0.816,0.000711,0.0988,-7.871,0.0353,131.409,4
11856,I Remember You,Skid Row,Skid Row,1989-01-24,313693,69,0.345,0.00642,0.345,0.531,7.28e-06,0.14,-12.708,0.0305,176.302,4
11857,Hunger Strike,Temple Of The Dog,Temple Of The Dog,1991-01-01,243026,57,0.37,0.0201,0.37,0.563,1.93e-06,0.0852,-10.842,0.0323,137.695,4
11858,The Kid Is Hot Tonite,Big Ones,Loverboy,1989-11-07,266773,0,0.572,0.00888,0.572,0.798,9.96e-06,0.126,-10.162,0.0421,142.509,4
11859,Wanted Dead Or Alive,Slippery When Wet (Remastered),Bon Jovi,1986-01-01,308666,0,0.265,0.126,0.265,0.805,0.0119,0.306,-3.967,0.0396,149.964,4
11860,"Well, If That Ain't Gonna Sell","Well, If That Ain't Gonna Sell",Daniel Monsou,2019-05-24,198877,21,0.496,0.0558,0.496,0.505,0.00151,0.188,-12.256,0.0336,110.023,3
11861,Since I've Been Loving You - Remaster,Led Zeppelin III (Deluxe Edition),Led Zeppelin,1970-10-05,444148,44,0.393,0.0021,0.393,0.364,0.0703,0.121,-10.945,0.0345,118.566,3
11862,Looks That Kill,Shout At The Devil,Mötley Crüe,1983,249013,63,0.485,0.0033,0.485,0.945,0.00525,0.0997,-5.954,0.0402,135.957,4
11863,Heart-Shaped Box,Nirvana (International Version),Nirvana,2002-01-01,279040,0,0.49,0.0773,0.49,0.778,0.00862,0.087,-6.968,0.0548,99.723,4
11864,Circles,Circles,Jetpack Syndrome,2019-03-05,390410,22,0.478,0.0248,0.478,0.607,0.00389,0.392,-9.401,0.0468,125.044,4
11865,Bad Medicine,New Jersey (Deluxe Edition),Bon Jovi,1988-09-13,316706,0,0.55,0.0495,0.55,0.971,0.0,0.091,-3.796,0.0353,118.709,4
11866,Step Back,Step Back,Asher Knight,2019-04-26,258322,0,0.646,0.0544,0.646,0.721,0.0,0.0566,-6.253,0.0713,149.001,4
11867,Doctor Doctor,Phenomenon,UFO,1974,252453,0,0.298,0.000168,0.298,0.799,9.42e-05,0.496,-6.962,0.0464,143.072,4
11868,Domino,Revenge,KISS,1992-01-01,240493,47,0.649,0.0221,0.649,0.726,0.000435,0.122,-8.112,0.112,137.112,4
11869,Backyard,I²,Chance McKinney,2018-12-07,181495,19,0.686,0.135,0.686,0.657,0.0,0.0536,-4.235,0.031,94.01,4
11870,Feels Like the First Time,Feels Like The First Time,Foreigner,2011-09-13,247000,0,0.496,0.000778,0.496,0.828,0.0,0.137,-5.285,0.035,107.685,4
11871,The Power of Love,Frankie Said,Frankie Goes To Hollywood,2012,329386,0,0.429,0.226,0.429,0.367,2.11e-06,0.463,-8.68,0.0302,123.032,4
11872,Takin' Care Of Business,20th Century Masters: The Millennium Collection: Best Of Bachman Turner Overdrive,Bachman-Turner Overdrive,2000-01-01,291733,0,0.731,0.0543,0.731,0.921,0.0,0.183,-5.69,0.05,130.19,4
11873,Got Me Under Pressure,ZZ Top's Greatest Hits,ZZ Top,1992-04-13,240400,38,0.643,0.0106,0.643,0.881,0.0278,0.072,-9.522,0.0373,157.699,4
11874,Get Lost,Batch 1,The Old Americana Band,2019-05-23,201136,25,0.561,0.0169,0.561,0.825,0.0,0.103,-5.396,0.0431,131.945,4
11875,She Sells Sanctuary,Love,The Cult,1985,263000,0,0.55,6.65e-06,0.55,0.777,0.821,0.0872,-8.592,0.0296,139.577,4
11876,Apart,Acoustic Heart,Soundeity,2019-06-13,240866,0,0.492,0.0105,0.492,0.404,4.03e-06,0.0806,-5.573,0.0263,140.14,4
11877,Fat Bottomed Girls - Remastered 2011,Jazz (Deluxe Remastered Version),Queen,1978-11-10,255600,65,0.337,0.0319,0.337,0.684,6.57e-06,0.342,-7.674,0.0495,88.772,4
11878,Poison,The Best Of Alice Cooper,Alice Cooper,2007-05-05,270786,57,0.304,0.0524,0.304,0.91,3.61e-05,0.111,-6.096,0.117,118.794,4
11879,Rock You Like A Hurricane,Legends Of Rock,Scorpions,2009-01-01,252733,22,0.483,0.0128,0.483,0.8,0.000459,0.279,-6.856,0.0492,125.911,4
11880,Shout At The Devil,Shout At the Devil,Mötley Crüe,1983,194973,0,0.501,0.0207,0.501,0.946,3.9e-05,0.132,-5.472,0.103,94.96,4
11881,Pirate Punk Politician,Kind Heaven,Perry Farrell,2019-06-07,170333,31,0.504,0.000516,0.504,0.888,0.000318,0.602,-5.224,0.0935,179.757,4
11882,Start Me Up - Remastered,Tattoo You (2009 Re-Mastered),The Rolling Stones,1981-08-24,213066,78,0.631,0.0436,0.631,0.932,0.137,0.0918,-4.142,0.0354,122.429,4
11883,Baba O'Riley,Who's Next,The Who,1971-08-14,300400,78,0.489,0.313,0.489,0.724,0.185,0.287,-8.367,0.0352,117.292,4
11884,Whiskey In The Jar,Shades Of A Blue Orphanage,Thin Lizzy,1972,345186,65,0.557,0.531,0.557,0.693,0.00141,0.196,-11.044,0.0445,127.531,4
11885,Janie's Got A Gun,Big Ones,Aerosmith,1994-01-01,330533,57,0.633,0.0516,0.633,0.823,0.000496,0.188,-5.792,0.0287,115.107,4
11886,Another Brick In The Wall - 2001 Remastered Version,Echoes - The Best Of Pink Floyd,Pink Floyd,2001-11-06,230866,0,0.71,0.0282,0.71,0.436,0.00298,0.583,-12.532,0.0299,104.136,4
11887,Fourth Man in the Fire,Fourth Man in the Fire,Josh Schneider,2020-05-01,257532,22,0.487,0.00579,0.487,0.602,0.00115,0.334,-10.167,0.033,76.97,4
11888,Family,Family,Starcoast,2020-05-07,230400,22,0.57,0.552,0.57,0.655,0.000973,0.121,-10.801,0.0338,124.9,4
11889,Roadrunner,The Modern Lovers,The Modern Lovers,1976-09-01,246440,59,0.462,5.05e-05,0.462,0.84,6.47e-05,0.0893,-6.667,0.0346,75.542,4
11890,Heart Of Glass - Special Mix,Best Of Blondie,Blondie,1981-10-31,275733,72,0.694,0.015,0.694,0.577,0.00836,0.0853,-14.63,0.0308,114.478,4
11891,Ohio,So Far,"Crosby, Stills, Nash & Young",1974-08-19,183733,67,0.445,0.261,0.445,0.529,0.0162,0.184,-10.94,0.026,79.296,4
11892,Love Is The Drug,Roxy Music Collection,Roxy Music,2004-01-01,248645,51,0.839,0.0477,0.839,0.73,0.00792,0.0305,-6.072,0.0809,124.653,4
11893,I Shot The Sheriff,461 Ocean Blvd. (Deluxe Edition),Eric Clapton,1974-07-01,263746,66,0.73,0.0853,0.73,0.639,0.00221,0.102,-11.025,0.0524,94.395,4
11894,Sweet Jane - Full Length Version; 2015 Remaster,Loaded: Re-Loaded 45th Anniversary Edition,The Velvet Underground,1970,246306,64,0.619,0.015,0.619,0.637,0.0,0.374,-7.369,0.0286,105.205,4
11895,L.A. Woman,L.A. Woman,The Doors,1971-04-19,471160,68,0.354,0.0817,0.354,0.731,0.00119,0.115,-9.178,0.0381,170.64,4
11896,Jet Airliner,Book Of Dreams,Steve Miller Band,1977-01-01,265840,51,0.585,0.0405,0.585,0.619,3.48e-05,0.326,-12.923,0.0324,122.872,4
11897,The Lamb Lies Down on Broadway - Platinum Collection Version,Platinum Collection,Genesis,2004-11-29,289373,34,0.377,0.453,0.377,0.778,0.0,0.571,-6.658,0.0827,117.238,4
11898,Layla,Layla And Other Assorted Love Songs (Remastered 2010),Derek & The Dominos,1970-11-01,423840,75,0.404,0.577,0.404,0.902,0.297,0.287,-3.88,0.0665,115.669,4
11899,Lust For Life,Lust For Life,Iggy Pop,1977-08-29,313925,68,0.383,0.0276,0.383,0.97,0.0,0.0942,-5.638,0.0435,101.603,4
11900,Deacon Blues,Aja,Steely Dan,1977-01-01,456640,57,0.75,0.437,0.75,0.58,0.000472,0.105,-12.475,0.0355,115.871,4
11901,Call Me,Best Of Blondie,Blondie,1981-10-31,212893,61,0.551,0.0336,0.551,0.628,0.000194,0.151,-13.799,0.036,142.167,4
11902,Roundabout - 2003 Remaster,Fragile (Deluxe Edition),Yes,1971-11-26,510573,67,0.41,0.0682,0.41,0.761,0.0077,0.0758,-9.453,0.0687,132.889,4
11903,Breakdown,Tom Petty & The Heartbreakers,Tom Petty and the Heartbreakers,1976-11-09,163893,64,0.625,0.398,0.625,0.35,6.76e-05,0.123,-8.395,0.0436,113.688,4
11904,Baby Hold On,Eddie Money,Eddie Money,1977,210826,58,0.642,0.154,0.642,0.641,1.23e-06,0.0475,-12.444,0.049,120.316,4
11905,Do You Feel Like We Do,Shine On - A Collection,Peter Frampton,1992-01-01,836666,0,0.295,0.0439,0.295,0.568,0.0117,0.977,-8.232,0.0284,98.284,4
11906,Black Diamond,Kiss,KISS,1974-02-18,314026,47,0.354,0.0833,0.354,0.62,0.00797,0.0832,-9.632,0.0557,132.526,4
11907,Venus,Marquee Moon,Television,1977-02-08,229026,48,0.55,0.000898,0.55,0.631,0.18,0.0503,-11.493,0.0385,114.553,4
11908,Tangled up in Blue,Blood On The Tracks,Bob Dylan,1975-01-17,341626,65,0.421,0.414,0.421,0.661,1.16e-06,0.0962,-13.126,0.0433,100.965,4
11909,Caravan - 2013 Remaster,Moondance (Deluxe Edition),Van Morrison,1970-02,300800,59,0.641,0.294,0.641,0.397,0.000717,0.0496,-12.285,0.0454,81.962,4
11910,Backstreets,Born To Run,Bruce Springsteen,1975-08-25,390146,54,0.225,0.201,0.225,0.889,0.734,0.379,-4.371,0.0337,96.02,4
11911,Anarchy in the U.K.,"Never Mind The Bollocks, Here's The Sex Pistols",Sex Pistols,1977-10-27,211973,54,0.323,0.0422,0.323,0.978,0.00019,0.201,-3.841,0.118,134.222,4
11912,2112: Overture / The Temples Of Syrinx / Discovery / Presentation / Oracle / Soliloquy / Grand Finale - Medley,2112,Rush,1976-04-01,1233666,53,0.344,0.0823,0.344,0.79,0.0017,0.187,-7.456,0.0983,133.186,4
11913,Up Around The Bend,Cosmo's Factory,Creedence Clearwater Revival,1970-07-25,161466,71,0.589,0.0606,0.589,0.85,0.779,0.274,-6.143,0.0343,130.318,4
11914,Foreplay / Long Time,Boston,Boston,1976,467640,66,0.436,0.00975,0.436,0.657,0.00748,0.0931,-8.868,0.0541,118.693,4
11915,Stuck In The Middle With You,Reservoir Dogs (Original Motion Picture Soundtrack),Various Artists,2009-01-01,203893,71,0.795,0.0934,0.795,0.564,0.000531,0.0631,-10.482,0.0392,124.166,4
11916,Like a Hurricane - 2003 Remaster,Greatest Hits,Neil Young,2004-11-15,501213,49,0.423,0.0129,0.423,0.834,0.00113,0.164,-5.498,0.037,113.876,4
11917,The Logical Song - Remastered 2010,Breakfast In America (Deluxe Edition),Supertramp,1979-03-29,251253,74,0.625,0.512,0.625,0.758,0.00022,0.153,-6.213,0.0463,119.719,4
11918,Won't Get Fooled Again - Original Album Version,Who's Next,The Who,1971-08-14,511400,64,0.686,0.301,0.686,0.92,0.27,0.0807,-6.231,0.0566,135.027,4
11919,Running on Empty,Running on Empty,Jackson Browne,1977-12-06,298093,2,0.531,0.006,0.531,0.948,0.0117,0.694,-5.438,0.0568,136.891,4
11920,Night Moves,Night Moves,Bob Seger,1976-10-22,324422,72,0.705,0.432,0.705,0.743,0.0133,0.103,-6.631,0.042,118.552,4
11921,Born to Run,Born To Run,Bruce Springsteen,1975-08-25,269920,73,0.27,0.00501,0.27,0.944,2.05e-05,0.116,-4.199,0.0975,146.347,4
11922,American Woman,American Woman,The Guess Who,1970-01-01,307493,64,0.55,0.146,0.55,0.726,0.00608,0.428,-8.51,0.0516,92.697,4
11923,Don't Stop - 2004 Remaster,Rumours,Fleetwood Mac,1977-02-04,193346,68,0.671,0.0393,0.671,0.71,1.12e-05,0.0387,-7.724,0.0356,118.745,4
11924,Because the Night,Easter,Patti Smith,1978,204800,68,0.466,0.0542,0.466,0.763,0.0,0.119,-7.748,0.0391,123.539,4
11925,Lola - Remastered,Lola Versus Powerman and the Moneygoround / Percy,The Kinks,1970-11-27,242026,59,0.468,0.459,0.468,0.839,0.461,0.151,-7.39,0.0365,151.842,4
11926,Don't Bring Me Down,Discovery,Electric Light Orchestra,1979-05-31,243373,73,0.638,0.144,0.638,0.867,0.000733,0.0846,-6.469,0.0331,115.692,4
11927,Wheel in the Sky,Infinity,Journey,1978,252240,63,0.441,0.084,0.441,0.745,2.22e-05,0.136,-8.623,0.0741,105.191,4
11928,All the Young Dudes,All The Young Dudes (Expanded Edition),Mott The Hoople,1972,211066,63,0.429,0.208,0.429,0.668,0.0,0.538,-7.539,0.044,77.737,4
11929,Breakfast In America - Remastered,Breakfast In America (Deluxe Edition),Supertramp,1979-03-29,159346,72,0.532,0.425,0.532,0.663,1.07e-06,0.0734,-5.886,0.0292,75.14,4
11930,Can't Get Enough - 2009 Remaster,10 from 6 (2009 Remaster),Bad Company,1985-06-01,254400,50,0.662,0.132,0.662,0.763,0.0013,0.067,-7.475,0.0397,126.333,4
11931,Livin' Thing,A New World Record,Electric Light Orchestra,1976-09-01,212306,70,0.549,0.583,0.549,0.651,0.0,0.121,-7.097,0.0323,122.818,4
11932,Free Bird,Pronounced' Leh-'Nerd 'Skin-'Nerd,Lynyrd Skynyrd,1973-01-01,547106,71,0.249,0.0738,0.249,0.834,9.48e-05,0.0924,-8.21,0.0577,118.223,4
11933,Bennie And The Jets - Remastered 2014,Goodbye Yellow Brick Road (Remastered),Elton John,1973-10-05,322548,74,0.665,0.259,0.665,0.673,7.62e-06,0.497,-7.95,0.0493,132.642,4
11934,Maggie May - Remastered Version,The Definitive Rod Stewart,Rod Stewart,2008-11-17,345680,52,0.62,0.717,0.62,0.559,0.433,0.133,-10.568,0.0369,129.401,4
11935,Cum on Feel the Noize,Sladest (Expanded),Slade,1973-09-28,264880,57,0.398,0.00155,0.398,0.86,0.683,0.154,-4.574,0.0663,138.09,4
11936,Paradise (feat. Dermot Kennedy),Paradise,MEDUZA,2020-10-30,167903,90,0.632,0.0689,0.632,0.595,0.0,0.209,-7.644,0.0401,124.114,4
11937,What's Love Got to Do with It,What's Love Got to Do with It,Kygo,2020-07-17,208156,81,0.75,0.275,0.75,0.664,0.0,0.0632,-5.908,0.154,105.023,4
11938,All You Need To Know (feat. Calle Lehmann),All You Need To Know (feat. Calle Lehmann),Gryffin,2019-03-27,238458,73,0.513,0.00968,0.513,0.788,0.0,0.11,-4.629,0.0364,139.987,4
11939,Dreamers,Dreamers,Wahlstedt,2020-12-18,181935,49,0.78,0.0428,0.78,0.808,0.000168,0.0497,-4.913,0.0451,123.977,4
11940,Big Love (with Wrabel),Big Love (with Wrabel),Klingande,2020-11-27,182115,58,0.483,0.0418,0.483,0.761,0.0,0.158,-7.15,0.111,124.068,4
11941,We Found Love,We Found Love,Third Party,2020-11-13,205714,51,0.528,0.037,0.528,0.92,0.00427,0.364,-3.056,0.0957,126.029,4
11942,I'll Wait,I'll Wait,Kygo,2020-04-03,215360,76,0.611,0.148,0.611,0.651,1.84e-05,0.105,-6.973,0.0587,122.983,4
11943,High On Life (feat. Bonn),High On Life (feat. Bonn),Martin Garrix,2018-07-29,230761,74,0.414,0.0129,0.414,0.486,0.0,0.111,-6.431,0.0311,128.038,4
11944,Good Guys,Good Guys,Promise Land,2020-12-03,175000,45,0.609,0.00147,0.609,0.918,0.0,0.33,-3.116,0.0969,124.023,4
11945,Lost with You,Lost with You,Lucas Estrada,2020-12-04,165047,64,0.668,0.0925,0.668,0.877,8.97e-06,0.203,-6.14,0.0705,111.971,4
