,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
161,Love To Love You Baby,Love To Love You Baby,Donna Summer,1975-01-01,1009360,0,0.622,0.314,0.622,0.421,3.82e-05,0.105,-16.224,0.0537,96.171,4
162,Brazilian Love Affair,Brazilian Love Affair (Expanded Edition),George Duke,1979-05-01,443666,29,0.605,0.0578,0.605,0.704,0.333,0.0887,-11.917,0.04,128.198,4
163,Love's Theme,Rhapsody In White,The Love Unlimited Orchestra,1974,246266,0,0.562,0.000979,0.562,0.566,0.882,0.363,-12.057,0.0336,97.342,4
164,Get Down On It,Something Special,Kool & The Gang,1981,293666,0,0.848,0.0811,0.848,0.39,4.75e-06,0.0498,-15.426,0.0549,111.53,4
165,Genius Of Love,Wordy Rappinghood,Tom Tom Club,1982,335000,37,0.926,0.146,0.926,0.584,0.000199,0.0565,-11.569,0.0861,102.775,4
166,"Why - 12"" Version",Soup for One (Original Motion Picture Soundtrack),Various Artists,1982-01-01,493989,44,0.676,0.00576,0.676,0.861,0.00916,0.02,-8.991,0.0537,92.361,4
167,"She's a Bad Mama Jama (She's Built, She's Stacked)",Ultimate Funk,Various Artists,1998-07-14,237533,0,0.892,0.0959,0.892,0.441,0.0,0.0365,-10.521,0.0908,114.22,4
168,Dancer,Outline,Gino Soccio,1979,508120,47,0.896,0.0183,0.896,0.339,0.552,0.0311,-9.576,0.0884,122.106,4
169,I Can't Wait,Poolside,Nu Shooz,1986-05-05,326506,48,0.851,0.078,0.851,0.574,0.0392,0.128,-13.622,0.07,104.274,4
170,Billie Jean,Michael Jackson: The Ultimate Collection,Michael Jackson,2004-11-17,292960,0,0.925,0.0192,0.925,0.589,0.00938,0.0398,-4.948,0.0413,117.157,4
171,Chase,Midnight Express (Soundtrack),Various Artists,1978-10-06,509840,0,0.638,0.00133,0.638,0.632,0.803,0.0657,-13.383,0.0297,125.373,4
172,Din Daa Daa - U.S. Remix,Din Daa Daa,George Kranz,1984-09-17,379093,31,0.791,0.295,0.791,0.702,0.0101,0.268,-9.645,0.112,123.255,4
173,Do What You Wanna Do,Something For The Weekend,T-Connection,2006-02-27,437626,35,0.679,0.0437,0.679,0.787,0.253,0.0981,-9.365,0.0397,120.552,4
174,"We Got the Funk - 12"" Mix",We Got the Funk,Positive Force,1979-01-01,438866,34,0.728,0.267,0.728,0.852,0.0325,0.333,-8.682,0.0458,112.215,4
175,Mama Used To Say,JI (Bonus Tracks Edition),Junior,2012-01-01,401333,0,0.773,0.108,0.773,0.457,0.00035,0.0692,-12.504,0.0288,109.756,4
176,Young Hearts Run Free,Young Hearts Run Free: The Best Of Candi Staton,Candi Staton,1995-10-10,249293,45,0.646,0.162,0.646,0.693,5.7e-06,0.263,-8.08,0.0436,115.516,4
177,Best of My Love,Rejoice,The Emotions,1977-06-10,220560,68,0.784,0.447,0.784,0.713,0.14,0.0904,-6.865,0.0339,115.443,4
178,Gonna Get Over You,Now!,France Joli,1982,251360,44,0.776,0.0192,0.776,0.601,0.00074,0.0366,-9.335,0.0658,109.976,4
179,"Disco Nights (Rock Freak) - 12"" Disco Remix",Disco Nights (Expanded Edition),G.Q.,1979-01-01,530226,27,0.809,0.000907,0.809,0.492,0.00743,0.246,-14.439,0.0546,121.477,4
180,Stay the Night,Nights (Feel Like Getting Down) [Expanded Edition],Billy Ocean,1981,191080,39,0.715,0.209,0.715,0.855,0.0845,0.129,-5.238,0.0309,115.97,4
181,I Got My Mind Made Up (You Can Get It Girl) - Larry Levan Single Version,I Got My Mind Made Up - The Best of Instant Funk,Instant Funk,1979-01-01,284253,20,0.752,0.00289,0.752,0.87,0.00265,0.264,-10.298,0.106,112.998,4
182,Keep On,You're the One for Me,D-Train,1982-01-01,401040,26,0.844,0.0349,0.844,0.716,6.7e-05,0.412,-8.082,0.0823,116.739,4
183,"What Cha Gonna Do With My Lovin' - 12"" Version",The Best Of Stephanie Mills,Stephanie Mills,1995-01-01,483360,0,0.71,0.0378,0.71,0.457,0.229,0.035,-13.41,0.0511,103.305,4
184,The Beat Goes on and On,Sons of the Gods,Ripple,1977-01-01,272625,24,0.644,0.0642,0.644,0.736,0.00366,0.0962,-15.056,0.0415,125.536,4
185,Any Love,Masterjam,Rufus & Chaka Khan,1979-01-01,292360,0,0.765,0.000621,0.765,0.555,2.23e-05,0.0851,-14.45,0.0514,123.829,4
186,Just As Long As I Got You,Salsoul Classics Vol. 1,Various Artists,1976,517733,31,0.65,0.0231,0.65,0.755,7.69e-05,0.104,-9.13,0.0696,123.66,4
187,I Specialize In Love - 12 Inch Version,I Specialize In Love,Sharon Brown,2010-09-10,437453,37,0.852,0.0387,0.852,0.752,0.000272,0.609,-7.774,0.0576,113.287,4
188,You Got What It Takes,You Got What It Takes,Bobby Thurston,1980,573560,34,0.712,0.0532,0.712,0.765,0.0539,0.0218,-14.293,0.0496,120.523,4
189,Running Away - 12-Inch Long Version,Lifeline,Roy Ayers Ubiquity,1977,414000,0,0.825,0.157,0.825,0.577,0.00347,0.0301,-11.19,0.0364,116.037,4
190,"Pop Muzik - Nik Launay '79 12""","New York, London, Paris, Munich",M,1979-01-01,296466,51,0.94,0.124,0.94,0.727,0.00021,0.0808,-9.982,0.0358,110.796,4
191,You Make Me Feel (Mighty Real),The Original Hits,Sylvester,1989-01-01,394693,51,0.627,0.109,0.627,0.724,0.43,0.073,-15.294,0.0327,131.52,4
192,Don'T Go Lose It Baby (Stretch Mix),Early Hugh Masekela,Hugh Masekela,2011-01-01,455053,34,0.73,0.00642,0.73,0.855,0.601,0.0568,-9.86,0.0417,120.774,4
193,Ain't No Mountain High Enough,Inner Life,Inner Life,1981,478240,0,0.679,0.0608,0.679,0.859,7.55e-06,0.0568,-6.7,0.0543,128.224,4
194,Boogie Oogie Oogie - Single Version 2 / Remastered 1999,A Taste Of Honey,A Taste Of Honey,2006-01-01,338133,51,0.835,0.0991,0.835,0.522,0.00184,0.111,-10.828,0.0916,123.934,4
195,Searching to Find the One - Remix,Searching to Find the One,Unlimited Touch,1980,444106,23,0.774,0.0102,0.774,0.596,0.0023,0.716,-13.534,0.0901,113.639,4
196,I Feel Love,I Remember Yesterday,Donna Summer,1977-01-01,355173,0,0.674,0.031,0.674,0.711,0.691,0.0925,-15.581,0.0423,126.696,4
197,It's a Love Thing,Imagination / This Kind of Lovin',The Whispers,2002-05-07,309066,25,0.777,0.0659,0.777,0.611,0.0012,0.28,-10.88,0.0777,118.328,4
198,Razzamatazz,The Dude,Quincy Jones,1981-01-01,254133,0,0.832,0.209,0.832,0.455,0.00159,0.0515,-14.48,0.0521,120.169,4
199,Don't Leave Me This Way (feat. Teddy Pendergrass) - A Tom Moulton Mix,Wake Up Everybody,Harold Melvin & The Blue Notes,1975-02-14,425040,17,0.505,0.287,0.505,0.686,0.0,0.198,-8.573,0.0906,124.572,4
200,Take A Chance - 1979,The Letter (Digitally Remastered),Queen Samantha,2006-01-20,455466,23,0.729,0.193,0.729,0.842,0.706,0.255,-8.929,0.0532,116.424,4
201,I'll Do Anything for You,I'll Do Anything for You,Denroy Morgan,1982-01-01,305720,36,0.732,0.195,0.732,0.817,2.98e-06,0.0824,-6.571,0.286,115.19,4
202,Down To Love Town,Down To Love Town,The Originals,1977-08-11,359480,0,0.73,0.0783,0.73,0.674,0.00282,0.349,-10.917,0.0281,122.459,4
203,Can't Shake Your Love (Larry Levan 12 Inch Mix),Set My Love in Motion (Deluxe Edition),Syreeta,2015-06-08,335621,0,0.835,0.317,0.835,0.685,0.00232,0.0987,-8.203,0.104,127.256,4
204,#5 Go Bang! (Francois K Mix),24-24 Music: The Definitive Arthur Russell Sleeping Bag Recordings,Dinosaur L,2015-10-16,454840,18,0.694,0.0112,0.694,0.838,0.0125,0.264,-9.117,0.0588,130.64,4
205,Love Hangover,Diana Ross,Diana Ross,1976-02-10,468866,26,0.51,0.365,0.51,0.52,0.0164,0.0587,-15.216,0.0389,112.302,4
206,Give It To Me Baby,The Ultimate Collection: Rick James,Rick James,1997-03-25,247133,0,0.775,0.0529,0.775,0.726,0.000407,0.095,-6.731,0.0495,119.891,4
207,Do You Wanna Funk,A Night To Remember,Tony Okungbowa and Jojo Flores,2012-05-01,263013,0,0.803,0.0189,0.803,0.627,0.000114,0.397,-6.1,0.0356,130.458,4
208,Take Your Time (Do It Right),Best Of,The S.O.S Band,2011-01-01,457880,0,0.868,0.0265,0.868,0.717,0.011,0.0835,-8.533,0.0613,118.951,4
209,Shame,"Love Come Down: The Best of Evelyn ""Champagne"" King","Evelyn ""Champagne"" King",1993-03-23,392800,50,0.714,0.00588,0.714,0.665,0.131,0.0655,-10.948,0.0381,133.805,4
210,"Spank - 12 "" Version",Hot Plate 2 - Volume 2,Various Artists,2010-10-08,418800,47,0.782,0.00356,0.782,0.601,0.00561,0.0466,-11.234,0.0526,118.077,4
211,There But For The Grace Of God Go I,A Night To Remember,Tony Okungbowa and Jojo Flores,2012-05-01,249053,0,0.79,0.0131,0.79,0.727,0.0,0.0666,-7.342,0.0823,126.937,4
212,Double Journey,Spaced Out + Mixed In Outer Space,Various Artists,1997,416728,0,0.658,0.0748,0.658,0.777,0.875,0.124,-8.647,0.0431,131.476,4
213,Jingo,Salsoul Classics Vol. 3 & 4,Various Artists,2011,593040,0,0.642,0.00402,0.642,0.849,0.627,0.25,-9.829,0.04,121.41,4
214,White Lines - Re-Recorded,100 Disco Hits of the '70s & '80s (Re-Recorded Versions),Various Artists,2010-08-02,465048,0,0.814,0.0103,0.814,0.701,0.00775,0.132,-7.525,0.0376,114.998,4
215,I Got My Mind Made Up (You Can Get It Girl),Instant Funk,Instant Funk,1979,320026,45,0.726,0.000702,0.726,0.802,0.0275,0.059,-10.006,0.0609,110.271,4
216,Super Freak,The Ultimate Collection: Rick James,Rick James,1997-03-25,204133,0,0.866,0.0639,0.866,0.74,0.0,0.0405,-7.386,0.0616,132.517,4
217,Disco Circus - Hardrock Stricker 'Acid Circus' Punkin' Out Disco Mix,Kick Out the 12's,Various Artists,2007,425066,40,0.808,4.2e-05,0.808,0.708,0.849,0.0395,-7.601,0.0612,119.002,4
218,Doing It To Death,Pass The Peas: The Best Of The J.B.'s,The J.B.'s,2000-01-01,306026,0,0.728,0.25,0.728,0.693,0.00128,0.0625,-7.097,0.0909,114.004,4
219,Whistle Bump,Love Island,Deodato,1978,272533,44,0.686,0.192,0.686,0.791,0.958,0.0844,-11.709,0.0398,118.169,4
220,Ten Percent,Ten Percent,Double Exposure,1976,427933,0,0.533,0.0324,0.533,0.908,2.13e-05,0.0732,-8.688,0.13,121.541,4
221,Get Up I Feel Like Being A Sex Machine - Pt. 1,Number 1's,James Brown,2007-01-01,169733,0,0.844,0.178,0.844,0.649,0.0,0.233,-8.737,0.259,108.263,4
222,Rock Your Baby (Album Version),Rock Your Baby,George McCrae,2009-12-21,384275,45,0.581,0.157,0.581,0.816,0.184,0.0902,-12.466,0.0394,105.078,4
223,Rough Diamond,Rough Diamond,Madleen Kane,1978,380053,40,0.74,0.0324,0.74,0.662,0.092,0.0603,-14.233,0.0505,128.001,4
224,Let's All Chant,Tellement proches (Original Motion Picture Soundtrack),Various Artists,2009-06-15,184120,0,0.736,0.00837,0.736,0.606,0.0125,0.0898,-8.098,0.0431,122.097,4
225,Think (About It),James Brown's Original Funky Divas,Various Artists,1998-01-01,202960,0,0.773,0.223,0.773,0.525,0.0002,0.0536,-10.854,0.252,112.714,4
226,You and I,The Best of Delegation,Delegation,2010,316266,53,0.718,0.153,0.718,0.676,0.0306,0.0706,-11.633,0.0318,112.711,4
227,Bad Girls,Greatest Hits: Donna Summer,Donna Summer,1998-09-15,236533,0,0.907,0.00971,0.907,0.562,0.0386,0.0344,-13.568,0.0495,121.062,4
228,Holiday,Celebration (double disc version),Madonna,2009-09-18,368280,62,0.854,0.0542,0.854,0.796,0.00184,0.151,-5.567,0.0399,115.625,4
229,I Love Music,The Ultimate O'Jays,The O'Jays,1972,409933,3,0.643,0.0557,0.643,0.862,6.42e-05,0.23,-7.009,0.0461,127.602,4
230,Don't Stop 'Til You Get Enough - Single Version,Off The Wall,Michael Jackson,1979-08-10,364560,0,0.882,0.0675,0.882,0.94,0.0262,0.115,-4.235,0.0797,119.237,4
231,"More, More, More","More, More, More",Andrea True Connection,2007-01-01,222613,50,0.663,0.517,0.663,0.792,0.000139,0.111,-5.476,0.0311,103.009,4
232,"So Many Men, So Little Time",So Many Men,Miquel Brown,2006-11-21,494466,48,0.739,0.0445,0.739,0.737,0.174,0.148,-10.001,0.0312,129.22,4
233,Good Times,Risqué,CHIC,1979-07-30,495400,65,0.87,0.149,0.87,0.657,0.0102,0.053,-7.32,0.0522,110.596,4
234,"I Feel Love - 12"" Version",The Journey: The Very Best Of Donna Summer,Donna Summer,2003-01-01,495173,0,0.692,0.0904,0.692,0.824,0.753,0.106,-13.09,0.0405,128.128,4
235,Don't Leave Me This Way - Single Version,Motown 1970s Vol. 1,Various Artists,2001-01-01,218773,0,0.546,0.198,0.546,0.656,1.79e-06,0.0813,-11.521,0.0649,121.045,4
236,It Only Takes A Minute - Remastered,Anthology,Tavares,2004-01-01,243240,45,0.649,0.167,0.649,0.7,6.86e-05,0.382,-8.43,0.0312,122.697,4
237,Turn the Beat Around,Radio Hits Of the '70s,Various Artists,1972,252373,49,0.662,0.327,0.662,0.941,0.0,0.218,-4.05,0.0883,131.045,4
238,Vertigo/Relight My Fire,Keep The Fire Burnin',Dan Hartman,1994,682866,43,0.739,0.00852,0.739,0.829,0.674,0.285,-5.337,0.0346,120.856,4
239,Get Down Tonight,KC & the Sunshine Band... and More,KC & The Sunshine Band,1994-12-13,317106,51,0.669,0.134,0.669,0.754,0.0069,0.46,-12.223,0.0279,112.683,4
240,"Heart Of Glass (12"" Version)",Heart Of Glass,Blondie,1979-01-03,350866,0,0.661,0.00662,0.661,0.629,0.0164,0.0459,-7.797,0.043,114.976,4
241,T.S.O.P. (The Sound of Philadelphia),Love Is The Message,MFSB,1973-12-01,222346,49,0.707,0.149,0.707,0.854,0.116,0.0987,-8.231,0.0286,114.021,4
242,I'm So Excited,Hits!,The Pointer Sisters,2001-07-09,233400,51,0.589,0.106,0.589,0.733,0.00328,0.111,-8.809,0.0399,182.364,4
243,"Hot Stuff - 12"" Version",Bad Girls [Deluxe Edition (US Version)],Donna Summer,1979,407053,0,0.808,0.00513,0.808,0.881,0.0127,0.0688,-8.249,0.0338,120.392,4
244,Night Fever - 2009 Remastered Version,The Ultimate Bee Gees,Bee Gees,2009-11-02,212266,0,0.728,0.0261,0.728,0.791,0.000939,0.0811,-7.324,0.0248,109.123,4
245,Shake Your Body (Down to the Ground),The Essential Jacksons,The Jacksons,2004-03-05,477240,47,0.828,0.0351,0.828,0.716,0.000156,0.342,-6.418,0.0621,117.642,4
246,Don't Leave Me This Way,The Best Of Harold Melvin & The Blue Notes: If You Don't Know Me By Now (Featuring Teddy Pendergrass) (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,1995-02-28,366573,47,0.472,0.403,0.472,0.679,1.02e-06,0.109,-9.961,0.0623,120.197,4
247,Boogie Oogie Oogie - Re-Recorded,100 Disco Hits of the '70s & '80s (Re-Recorded Versions),Various Artists,2010-08-02,324106,0,0.794,0.111,0.794,0.505,0.00555,0.167,-10.581,0.0331,125.371,4
248,The Boss,20th Century Masters: The Millennium Collection: Best of Diana Ross,Diana Ross,2000-01-01,234560,41,0.703,0.179,0.703,0.92,0.000201,0.214,-4.959,0.0358,123.346,4
249,Celebration - Single Version,Totally '80s For Kids,Various Artists,2010-01-01,221573,43,0.785,0.0393,0.785,0.885,0.00473,0.0673,-5.626,0.061,121.723,4
250,Knock On Wood,Knock On Wood,Amii Stewart,2011-01-17,250520,50,0.689,0.0019,0.689,0.805,8.23e-05,0.0683,-11.199,0.0429,140.791,4
251,Wishing on a Star,In Full Bloom,Rose Royce,1977,291760,57,0.333,0.716,0.333,0.422,4.13e-05,0.0455,-15.171,0.0527,97.305,4
252,Law And Order,Salsoul Classics Vol. 3 & 4,Various Artists,2011,525973,0,0.503,0.0211,0.503,0.89,0.0011,0.541,-8.988,0.146,126.612,4
253,Brick House,Motown 1970s,Various Artists,2001-01-01,209506,0,0.847,0.0424,0.847,0.733,0.00302,0.0334,-8.955,0.0611,107.71,4
254,Ladies Night,Kool and the Gang: Greatest Hits,Kool & The Gang,2009-01-01,228693,0,0.521,0.0911,0.521,0.786,0.0,0.343,-10.207,0.0813,119.072,4
255,The Love I Lost,The Best Of Harold Melvin & The Blue Notes: If You Don't Know Me By Now (Featuring Teddy Pendergrass) (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,1995-02-28,383826,45,0.684,0.201,0.684,0.714,0.0,0.0727,-11.001,0.0495,123.377,4
256,Macho Man,San Francisco,Village People,1986-01-01,320466,0,0.701,0.0458,0.701,0.807,0.0,0.123,-9.035,0.0661,133.506,4
257,"Yes Sir, I Can Boogie",More Monty,Various Artists,1998-11-04,272000,52,0.452,0.113,0.452,0.754,0.0,0.151,-8.347,0.0746,122.5,4
258,Rock the Boat,Carlito's Way: Music From The Motion Picture,Various Artists,1993-11-09,186733,42,0.605,0.224,0.605,0.726,0.0,0.138,-6.672,0.0657,107.095,4
259,Heaven Must Be Missing an Angel Re-Recorded / Remastered),I Love The 70s,Various Artists,2011-05-25,399705,0,0.655,0.000444,0.655,0.762,0.0,0.158,-8.891,0.0317,116.009,4
260,"Heaven Must Have Sent You - 12"" Version",Disco Gold,Various Artists,2005-01-01,434306,15,0.866,0.0927,0.866,0.721,0.0169,0.055,-9.233,0.0386,128.669,4
261,September,"The Best Of Earth, Wind & Fire Vol.1","Earth, Wind & Fire",1978-11-23,215093,0,0.693,0.162,0.693,0.825,0.00144,0.251,-7.308,0.0301,125.892,4
262,We Are Family,We Are Family / Easier To Love [Digital 45],Sister Sledge,1979,216533,0,0.79,0.279,0.79,0.86,3.4e-05,0.229,-6.914,0.0863,118.971,4
263,Never Can Say Goodbye - Re-Recorded,100 Disco Hits of the '70s & '80s (Re-Recorded Versions),Various Artists,2010-08-02,184556,0,0.609,0.362,0.609,0.869,0.0,0.301,-6.997,0.0445,124.948,4
264,Last Dance - Single Version,The Journey: The Very Best Of Donna Summer,Donna Summer,2003-01-01,198680,0,0.53,0.273,0.53,0.829,0.000255,0.354,-6.741,0.0558,125.746,4
265,Y.M.C.A,Vamos De Fiesta - Let's Go To The Party,Various Artists,2010-12-27,281120,0,0.694,0.0296,0.694,0.968,0.0,0.0493,-3.803,0.155,126.616,4
266,"Can't Get Enough Of Your Love, Babe",Barry White's Greatest Hits,Barry White,1975-01-01,270333,49,0.74,0.202,0.74,0.605,0.000107,0.0515,-10.924,0.0539,111.78,4
267,Love Come Down - Single Version,"The Best Of Evelyn ""Champagne"" King","Evelyn ""Champagne"" King",1990-04-09,220626,56,0.88,0.0187,0.88,0.395,3.24e-05,0.0571,-14.629,0.102,117.161,4
268,Outstanding,Greatest Hits,The Gap Band,1998-01-01,194066,0,0.701,0.122,0.701,0.659,0.0,0.257,-8.65,0.0306,98.931,4
269,Ain't Nobody (Live),Ain't Nobody / Sweet Thing (Live),Rufus,1983-08-10,245133,46,0.823,0.222,0.823,0.765,6.73e-05,0.116,-12.393,0.0456,104.8,4
270,Love Sensation,Love Sensation,Loleatta Holloway,1980,366200,48,0.703,0.00947,0.703,0.755,0.02,0.17,-9.337,0.0749,117.128,4
271,I Feel Love - Edit,Top Of The Pops 1975 - 1979,Various Artists,2016-07-29,227360,28,0.673,0.0707,0.673,0.762,0.712,0.0816,-12.841,0.0432,125.73,4
272,Ring My Bell,Ring My Bell,Anita Ward,1979-01-01,212009,45,0.783,0.109,0.783,0.541,0.0822,0.0891,-13.398,0.0405,125.816,4
273,Got To Give It Up (Pt. 1),The Best Of Marvin Gaye,Marvin Gaye,1994-01-01,248693,0,0.875,0.204,0.875,0.887,0.00109,0.343,-7.672,0.0495,122.852,4
274,Ladies Night - Single Version,The Very Best Of Kool & The Gang,Kool & The Gang,1999-01-01,208306,0,0.674,0.225,0.674,0.721,3.48e-05,0.0445,-8.495,0.151,111.815,4
275,A Fifth Of Beethoven,Saturday Night Fever (The Original Movie Soundtrack Deluxe Edition),Various Artists,1977-11-15,182533,0,0.695,0.312,0.695,0.495,0.648,0.062,-13.296,0.0422,108.808,4
276,Shake Your Body (Down to the Ground) - Single Edit,The Essential Michael Jackson,Michael Jackson,2005-07-19,224893,57,0.774,0.0307,0.774,0.803,0.0,0.347,-4.959,0.0877,117.779,4
277,He's the Greatest Dancer - Edit Version,We Are Family - The Essential Sister Sledge,Sister Sledge,2013-05-24,214866,37,0.72,0.0122,0.72,0.856,3.2e-05,0.0667,-8.74,0.0448,113.871,4
278,Street Life - Single Edit,Gold,The Crusaders,2007,332133,0,0.505,0.603,0.505,0.625,3.98e-05,0.0823,-8.195,0.0686,110.791,4
279,Your Disco Needs You,Light Years,Kylie Minogue,2000-07-10,211346,38,0.474,0.239,0.474,0.872,7.1e-06,0.241,-4.931,0.109,126.057,4
280,Heaven Must Be Missing an Angel - Radio Edit,Heaven Must be Missing an Angel / More Than a Woman,Tavares,1994-01-01,233880,45,0.68,0.00145,0.68,0.576,0.0765,0.0551,-13.531,0.0343,119.591,4
281,That's the Way (I Like It) - 2004 Remaster,KC & the Sunshine Band,KC & The Sunshine Band,1975-07-06,185106,61,0.68,0.191,0.68,0.877,0.000656,0.349,-10.241,0.0353,108.674,4
282,Love Train,Back Stabbers,The O'Jays,1972,178400,69,0.744,0.186,0.744,0.568,1.18e-05,0.163,-9.629,0.0494,122.657,4
283,"Stayin' Alive - From ""Saturday Night Fever"" Soundtrack",Greatest,Bee Gees,1979-01-01,285373,0,0.703,0.0322,0.703,0.826,0.00629,0.179,-7.179,0.0341,103.564,4
284,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit],Daft Punk,2013-04-19,248413,77,0.794,0.0426,0.794,0.811,1.07e-06,0.101,-8.966,0.038,116.047,4
285,Boogie Wonderland - with The Emotions,"Boogie Wonderland: The Best Of Earth, Wind & Fire","Earth, Wind & Fire",2010-04-23,287602,0,0.803,0.104,0.803,0.821,0.0129,0.0197,-9.639,0.0332,131.81,4
286,Everlasting Love,Everlasting: The Best Of Carl Carlton,Carl Carlton,2009-01-01,153946,51,0.546,0.719,0.546,0.828,0.03,0.372,-4.771,0.0394,121.418,4
287,Bad Luck (feat. Teddy Pendergrass),To Be True (Expanded Edition) (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,1974-03-01,386426,44,0.61,0.0223,0.61,0.634,0.0,0.145,-12.988,0.1,118.983,4
288,Never Too Much,Collections,Luther Vandross,2008-09-29,231038,0,0.741,0.107,0.741,0.746,0.0,0.0497,-6.896,0.112,110.218,4
289,Thinking of You - 2006 Remaster,Definitive Groove: Sister Sledge,Sister Sledge,2007-02-05,269173,41,0.674,0.29,0.674,0.843,1.32e-05,0.0393,-9.205,0.0519,101.073,4
290,Taste of Bitter Love,About Love (Expanded Edition),Gladys Knight & The Pips,1980,278626,44,0.753,0.192,0.753,0.826,0.00936,0.0568,-5.547,0.0391,109.283,4
291,You Should Be Dancing - 2009 Remastered Version,The Ultimate Bee Gees,Bee Gees,2009-11-02,256453,0,0.699,0.0237,0.699,0.857,0.462,0.607,-6.528,0.0308,122.98,4
292,Blame It On The Boogie,Can You Feel It: The Jacksons Collection,The Jacksons,2004,210333,0,0.77,0.0694,0.77,0.725,0.0,0.108,-7.927,0.09,113.317,4
293,Call Me,Skyy Line,Skyy,1981-01-01,382333,46,0.794,0.00297,0.794,0.636,0.0141,0.0753,-8.698,0.0756,121.213,4
294,Sexual Healing,Midnight Love (Legacy Edition),Marvin Gaye,1982-10-01,238600,0,0.805,0.126,0.805,0.597,0.000214,0.0568,-9.701,0.0597,94.376,4
295,Shame,Legends,"Evelyn ""Champagne"" King",2005-02-05,393240,46,0.679,0.00289,0.679,0.85,0.115,0.0633,-6.131,0.0371,134.49,4
296,Don't Leave Me This Way (feat. Teddy Pendergrass),Wake Up Everybody (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,1975,363973,60,0.472,0.278,0.472,0.71,1.36e-06,0.103,-8.852,0.0599,120.052,4
297,Lost in Music,The Best of Sister Sledge (1973-1985),Sister Sledge,1992-08-11,287440,51,0.758,0.0544,0.758,0.841,0.000153,0.103,-7.509,0.0319,114.487,4
298,Let's Groove,"Boogie Wonderland: The Best Of Earth, Wind & Fire","Earth, Wind & Fire",2010-04-23,335481,0,0.876,0.133,0.876,0.694,7.79e-06,0.0694,-7.297,0.0611,125.081,4
299,The Love I Lost (feat. Teddy Pendergrass) - Single Version,Black & Blue (Expanded Edition) (feat. Teddy Pendergrass),Harold Melvin & The Blue Notes,1973-02-01,213853,42,0.62,0.146,0.62,0.869,6.48e-06,0.576,-4.514,0.0499,123.573,4
300,"I'm So Excited - 12"" Remix",Break Out,The Pointer Sisters,1983-11-06,293213,43,0.583,0.077,0.583,0.645,0.0226,0.096,-12.249,0.0388,182.779,4
301,The Glow of Love,The Glow of Love (Original Album and Rare Tracks),Change,1980,373240,51,0.697,0.302,0.697,0.899,5.37e-06,0.168,-4.38,0.105,118.116,3
302,Relight My Fire - Single Version,Disco 100,Various Artists,2009-09-25,223093,36,0.756,0.0857,0.756,0.875,0.0,0.316,-6.089,0.0618,120.468,4
303,Can You Feel It,Can You Feel It: The Jacksons Collection,The Jacksons,2004,358373,0,0.896,0.0484,0.896,0.651,0.000528,0.247,-6.725,0.0484,125.361,4
304,"Yes Sir, I Can Boogie",Best Of,Baccara,2005-07-09,275200,43,0.468,0.0739,0.468,0.817,2.23e-06,0.0997,-6.147,0.0978,122.787,4
305,September,"Boogie Wonderland: The Best Of Earth, Wind & Fire","Earth, Wind & Fire",2010-04-23,214877,0,0.625,0.0923,0.625,0.863,7.07e-05,0.158,-5.665,0.0284,125.448,4
306,"T.S.O.P. (The Sound of Philadelphia) (feat. The Three Degrees) - ""A Tom Moulton Mix""",The Best Of MFSB: Love Is The Message,MFSB,1995-10-31,348333,40,0.52,0.00418,0.52,0.727,0.244,0.0615,-10.609,0.0483,114.665,4
307,It's Raining Men,Super Hits,The Weather Girls,1983,326333,42,0.692,0.0468,0.692,0.856,0.507,0.252,-7.786,0.0696,136.913,4
308,Instant Replay,Keep The Fire Burnin',Dan Hartman,1994,320333,43,0.754,0.0158,0.754,0.724,0.000405,0.0611,-6.058,0.0656,128.925,4
309,"Going Back to My Roots - 12"" Version",The Greatest Hits,Odyssey,1997-09-22,326093,41,0.705,0.0579,0.705,0.813,0.0733,0.0502,-9.408,0.0347,107.169,4
310,Love Really Hurts Without You,The Very Best of Billy Ocean,Billy Ocean,2010-04-26,179013,44,0.518,0.00193,0.518,0.878,3.76e-06,0.0865,-4.693,0.0341,140.991,4
311,Shake Your Body (Down To The Ground) - Single Version,Can You Feel It: The Jacksons Collection,The Jacksons,2004,225080,0,0.8,0.0512,0.8,0.726,0.0,0.339,-6.816,0.0803,117.355,4
312,"When the Going Gets Tough, The Tough Get Going",The Very Best of Billy Ocean,Billy Ocean,2010-04-26,248000,64,0.754,0.407,0.754,0.763,0.0,0.318,-6.318,0.0473,122.047,4
313,"It's a Disco Night (Rock Don't Stop), Pts. 1 & 2",Summer Breeze - The Best Of,The Isley Brothers,2009-03-26,314893,0,0.798,0.128,0.798,0.894,0.000142,0.0749,-6.124,0.0474,133.551,4
314,It's in His Kiss,Legends,Linda Lewis,2005-02-05,199240,35,0.592,0.0213,0.592,0.841,0.00885,0.0552,-7.77,0.0764,122.492,4
